Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2019-01-02,82.40864562988281,82.79865836772105,79.61218263306434,79.62047619657592,15670900
2019-01-03,81.2374496459961,82.72650906618159,80.88609983766885,82.5173713637426,16286400
2019-01-04,84.23230743408203,84.43307785174412,82.21621681473587,82.91055555452222,16935200
2019-01-07,84.29085540771484,84.88480567468666,83.41247456673675,84.0147921282788,15430700
2019-01-08,84.13189697265625,85.17758526474076,83.27861813456022,85.01863860198397,13578800
2019-01-09,83.98969268798828,84.90152989973244,83.5965128325113,84.33267516077379,14230300
2019-01-10,83.98133087158203,84.26576145080135,83.04439171619157,83.67180479056779,14376100
2019-01-11,83.57979583740234,83.79729445619616,82.77670143037066,83.56306124680204,15439900
2019-01-14,84.44143676757812,84.79278655921381,82.53410203312623,82.70977692894408,21258500
2019-01-15,85.06049346923828,85.7213694282688,82.48391523507857,82.72651575540952,26504900
2019-01-16,85.7464599609375,86.5411806954298,85.16087693366698,85.5373222537157,18533000
2019-01-17,86.09778594970703,86.58298682795241,85.2612353523355,85.42018200819595,14247600
2019-01-18,87.49484252929688,87.75417760966796,86.02251776000868,86.8088711488129,16428700
2019-01-22,86.11453247070312,86.65828532845562,85.43692205290506,86.23164905997677,17083700
2019-01-23,85.89704132080078,86.75032037744427,85.30309098465528,86.53282175229339,12146700
2019-01-24,85.94722747802734,86.24001898180113,85.27799066688387,85.43693097900328,11296800
2019-01-25,86.49097442626953,87.26059952127105,85.94721520696677,86.59136280567742,14369400
2019-01-28,86.90089416503906,87.20205296140668,85.82174287511778,86.07271066621615,12283100
2019-01-29,87.14348602294922,87.92984573355776,86.77540805016739,86.90088555090243,9743300
2019-01-30,87.34426879882812,88.03860108604728,86.81723772997549,87.11839651721246,12526300
2019-01-31,86.58299255371094,86.83396030246878,85.93885135938243,86.50770605850857,17520600
2019-02-01,86.90089416503906,87.71234945623091,86.59973536867145,87.00128255795362,13000800
2019-02-04,87.21041870117188,87.21041870117188,86.17309752239106,86.82560610875925,9871500
2019-02-05,86.82562255859375,87.46140305808308,86.40734708989393,87.43630116876429,12763000
2019-02-06,86.78378295898438,87.5199517880327,86.55791703885683,86.75868745478981,8745000
2019-02-07,85.64606475830078,86.58300390985988,84.85971138164707,86.37386621925636,13177500
2019-02-08,84.79277038574219,85.6125864098528,83.70525203920809,85.3950878464457,12892600
2019-02-11,84.39125061035156,85.33655719096924,84.29922950281573,85.12741947063815,10978500
2019-02-12,85.83010864257812,86.09780463654329,85.23615835541716,85.28634935979315,12852300
2019-02-13,86.24002838134766,86.87580884624919,86.08108805190489,86.08108805190489,10754100
2019-02-14,85.67953491210938,86.2483897346944,84.78442577475698,85.72136500677242,11518500
2019-02-15,88.29794311523438,88.423420634481,86.71686254896312,86.9176329621341,14716900
2019-02-19,87.9884033203125,88.14734999646566,86.84232655793903,87.76253743843068,12764900
